PeakID (cmd=annotatePeaks.pl ATAC-H3K27me3_subtracted.bed Gallus_gallus.GRCg6a.dna.toplevel.fa -gtf GalGal6_protein_coding.gtf -gid)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
ATAC_R1.mLb.clN_peak_5354	1	80499672	80500128	+	105	NA	Intergenic	Intergenic	-39834	ENSGALG00000032361	ENSGALG00000032361	ENSGALT00000080661			STXBP5L			protein_coding
ATAC_R1.mLb.clN_peak_58338	8	4547344	4547745	+	105	NA	intron (ENSGALG00000002922, intron 1 of 33)	protein_coding-intron (ENSGALG00000002922, intron 1 of 32)	1314	ENSGALG00000002922	ENSGALG00000002922	ENSGALT00000039988			NOTCH2			protein_coding
ATAC_R1.mLb.clN_peak_3335	1	45767130	45767607	+	105	NA	Intergenic	Intergenic	-13820	ENSGALG00000043701	ENSGALG00000043701	ENSGALT00000076238			ELK3			protein_coding
ATAC_R1.mLb.clN_peak_32871	27	5863315	5863783	+	105	NA	Intergenic	Intergenic	8080	ENSGALG00000009935	ENSGALG00000009935	ENSGALT00000016155						protein_coding
ATAC_R1.mLb.clN_peak_60050	8	28451529	28452207	+	105	NA	intron (ENSGALG00000011024, intron 1 of 26)	protein_coding-intron (ENSGALG00000011024, intron 1 of 26)	25001	ENSGALG00000011024	ENSGALG00000011024	ENSGALT00000017959			CACHD1			protein_coding
ATAC_R1.mLb.clN_peak_7343	1	115802021	115802341	+	105	NA	Intergenic	Intergenic	-51991	ENSGALG00000016287	ENSGALG00000016287	ENSGALT00000026260			NR0B1			protein_coding
ATAC_R1.mLb.clN_peak_16494	13	1717416	1717982	+	105	NA	Intergenic	Intergenic	31661	ENSGALG00000000884	ENSGALG00000000884	ENSGALT00000001298			CXXC5			protein_coding
ATAC_R1.mLb.clN_peak_62744	Z	7935853	7936596	+	105	NA	intron (ENSGALG00000005839, intron 2 of 7)	protein_coding-intron (ENSGALG00000005839, intron 2 of 7)	2259	ENSGALG00000005839	ENSGALG00000005839	ENSGALT00000051008			ARID3C			protein_coding
ATAC_R1.mLb.clN_peak_50792	5	36690962	36691101	+	105	NA	Intergenic	Intergenic	52149	ENSGALG00000010096	ENSGALG00000010096	ENSGALT00000016420			MBIP			protein_coding
ATAC_R1.mLb.clN_peak_18251	14	9231038	9231423	+	105	NA	intron (ENSGALG00000007130, intron 1 of 5)	protein_coding-intron (ENSGALG00000007130, intron 1 of 5)	802	ENSGALG00000007130	ENSGALG00000007130	ENSGALT00000011552			RAC1			protein_coding
ATAC_R1.mLb.clN_peak_44953	4	51680716	51681031	+	104	NA	Intergenic	Intergenic	23518	ENSGALG00000048579	ENSGALG00000048579	ENSGALT00000104969						protein_coding
ATAC_R1.mLb.clN_peak_41674	4	5308439	5308777	+	104	NA	Intergenic	Intergenic	100200	ENSGALG00000006822	ENSGALG00000006822	ENSGALT00000095684			Pcdh19			protein_coding
ATAC_R1.mLb.clN_peak_48295	5	4003011	4003209	+	104	NA	intron (ENSGALG00000012163, intron 1 of 1)	protein_coding-intron (ENSGALG00000012163, intron 1 of 1)	8398	ENSGALG00000012163	ENSGALG00000012163	ENSGALT00000083974			BDNF			protein_coding
ATAC_R1.mLb.clN_peak_11450	1	186699249	186699488	+	104	NA	Intergenic	Intergenic	-10201	ENSGALG00000017204	ENSGALG00000017204	ENSGALT00000067294			SESN3			protein_coding
ATAC_R1.mLb.clN_peak_7934	1	125741594	125742007	+	104	NA	Intergenic	Intergenic	50864	ENSGALG00000016602	ENSGALG00000016602	ENSGALT00000102910			ARHGAP6			protein_coding
ATAC_R1.mLb.clN_peak_56768	7	21679882	21680404	+	104	NA	intron (ENSGALG00000011132, intron 1 of 13)	protein_coding-intron (ENSGALG00000011132, intron 1 of 13)	-2090	ENSGALG00000011132	ENSGALG00000011132	ENSGALT00000102119			RBMS1			protein_coding
ATAC_R1.mLb.clN_peak_22542	2	23318840	23319139	+	104	NA	intron (ENSGALG00000035994, intron 3 of 10)	protein_coding-intron (ENSGALG00000035994, intron 3 of 10)	9004	ENSGALG00000035994	ENSGALG00000035994	ENSGALT00000063017						protein_coding
ATAC_R1.mLb.clN_peak_53120	6	8764992	8766484	+	104	NA	Intergenic	Intergenic	7076	ENSGALG00000040971	ENSGALG00000040971	ENSGALT00000056002			KROX20			protein_coding
ATAC_R1.mLb.clN_peak_35648	3	38484951	38485723	+	104	NA	Intergenic	Intergenic	23631	ENSGALG00000052326	ENSGALG00000052326	ENSGALT00000101151						protein_coding
ATAC_R1.mLb.clN_peak_13060	10	12678253	12678696	+	104	NA	intron (ENSGALG00000006403, intron 1 of 2)	protein_coding-intron (ENSGALG00000006403, intron 1 of 2)	971	ENSGALG00000006403	ENSGALG00000006403	ENSGALT00000042638			MESD			protein_coding
ATAC_R1.mLb.clN_peak_42119	4	10901654	10902258	+	104	NA	Intergenic	Intergenic	12633	ENSGALG00000007282	ENSGALG00000007282	ENSGALT00000097984			CNGA2			protein_coding
ATAC_R1.mLb.clN_peak_54863	6	31069687	31069862	+	104	NA	intron (ENSGALG00000009403, intron 2 of 15)	protein_coding-intron (ENSGALG00000009403, intron 2 of 15)	80641	ENSGALG00000009403	ENSGALG00000009403	ENSGALT00000015315			GRK5			protein_coding
ATAC_R1.mLb.clN_peak_48126	5	1819415	1820006	+	104	NA	TTS (ENSGALG00000004243)	protein_coding-TTS (ENSGALG00000004243)	296	ENSGALG00000045199	ENSGALG00000045199	ENSGALT00000090145						protein_coding
ATAC_R1.mLb.clN_peak_42691	4	19744436	19745030	+	104	NA	Intergenic	Intergenic	-55316	ENSGALG00000009207	ENSGALG00000009207	ENSGALT00000094692			TRIM2			protein_coding
ATAC_R1.mLb.clN_peak_16448	12	20054090	20055131	+	104	NA	intron (ENSGALG00000008487, intron 3 of 5)	protein_coding-intron (ENSGALG00000008487, intron 3 of 5)	27215	ENSGALG00000008487	ENSGALG00000008487	ENSGALT00000100200			TMCC1			protein_coding
ATAC_R1.mLb.clN_peak_5280	1	78069763	78070037	+	104	NA	TTS (ENSGALG00000014662)	protein_coding-TTS (ENSGALG00000014662)	1802	ENSGALG00000014662	ENSGALG00000014662	ENSGALT00000023632			RBP5			protein_coding
ATAC_R1.mLb.clN_peak_52128	5	50583078	50583513	+	104	NA	Intergenic	Intergenic	19994	ENSGALG00000031062	ENSGALG00000031062	ENSGALT00000090654			BAG5			protein_coding
ATAC_R1.mLb.clN_peak_59591	8	20945452	20946231	+	104	NA	intron (ENSGALG00000045795, intron 2 of 2)	protein_coding-intron (ENSGALG00000045795, intron 2 of 2)	26834	ENSGALG00000045795	ENSGALG00000045795	ENSGALT00000089107						protein_coding
ATAC_R1.mLb.clN_peak_13157	10	14621399	14621785	+	104	NA	Intergenic	Intergenic	-28972	ENSGALG00000030250	ENSGALG00000030250	ENSGALT00000066973			SV2B			protein_coding
ATAC_R1.mLb.clN_peak_21113	2	4532767	4533174	+	104	NA	Intergenic	Intergenic	-35815	ENSGALG00000005710	ENSGALG00000005710	ENSGALT00000083911			CTDSPL			protein_coding
ATAC_R1.mLb.clN_peak_46988	4	76647697	76648051	+	104	NA	intron (ENSGALG00000014509, intron 2 of 8)	protein_coding-intron (ENSGALG00000014509, intron 2 of 8)	4392	ENSGALG00000014509	ENSGALG00000014509	ENSGALT00000043970			BST1			protein_coding
ATAC_R1.mLb.clN_peak_29053	2	124177429	124177880	+	103	NA	intron (ENSGALG00000043535, intron 3 of 10)	protein_coding-intron (ENSGALG00000043535, intron 3 of 11)	5916	ENSGALG00000043535	ENSGALG00000043535	ENSGALT00000056899			RIPK2			protein_coding
ATAC_R1.mLb.clN_peak_30896	20	3754967	3755530	+	103	NA	Intergenic	Intergenic	-11851	ENSGALG00000003568	ENSGALG00000003568	ENSGALT00000005651			PPP1R16B			protein_coding
ATAC_R1.mLb.clN_peak_49872	5	25164220	25164459	+	103	NA	intron (ENSGALG00000008631, intron 5 of 18)	protein_coding-intron (ENSGALG00000008631, intron 5 of 18)	14420	ENSGALG00000008631	ENSGALG00000008631	ENSGALT00000014067			TYRO3			protein_coding
ATAC_R1.mLb.clN_peak_56068	7	14535610	14536192	+	103	NA	intron (ENSGALG00000020793, intron 1 of 3)	protein_coding-intron (ENSGALG00000020793, intron 2 of 4)	38400	ENSGALG00000020793	ENSGALG00000020793	ENSGALT00000100301			UBE2E3			protein_coding
ATAC_R1.mLb.clN_peak_31209	20	7978671	7978883	+	103	NA	Intergenic	Intergenic	-5944	ENSGALG00000045938	ENSGALG00000045938	ENSGALT00000089296			RBBP8NL			protein_coding
ATAC_R1.mLb.clN_peak_6662	1	104954445	104954584	+	103	NA	Intergenic	Intergenic	240074	ENSGALG00000050657	ENSGALG00000050657	ENSGALT00000107054						protein_coding
ATAC_R1.mLb.clN_peak_5177	1	74529841	74530216	+	103	NA	Intergenic	Intergenic	33631	ENSGALG00000053338	ENSGALG00000053338	ENSGALT00000093018						protein_coding
ATAC_R1.mLb.clN_peak_12288	10	4680573	4681299	+	103	NA	Intergenic	Intergenic	-47843	ENSGALG00000003521	ENSGALG00000003521	ENSGALT00000077229			TPM1			protein_coding
ATAC_R1.mLb.clN_peak_41665	4	5280350	5280931	+	103	NA	Intergenic	Intergenic	72232	ENSGALG00000006822	ENSGALG00000006822	ENSGALT00000095684			Pcdh19			protein_coding
ATAC_R1.mLb.clN_peak_21781	2	14263274	14264222	+	103	NA	Intergenic	Intergenic	-13789	ENSGALG00000007254	ENSGALG00000007254	ENSGALT00000060659			ARHGAP12			protein_coding
ATAC_R1.mLb.clN_peak_48581	5	8111243	8111726	+	103	NA	Intergenic	Intergenic	-20150	ENSGALG00000005415	ENSGALG00000005415	ENSGALT00000057591			TEAD1			protein_coding
ATAC_R1.mLb.clN_peak_41553	4	4110844	4111995	+	103	NA	intron (ENSGALG00000006132, intron 1 of 5)	protein_coding-intron (ENSGALG00000006132, intron 1 of 5)	302	ENSGALG00000006132	ENSGALG00000006132	ENSGALT00000009895			MOSPD1			protein_coding
ATAC_R1.mLb.clN_peak_57865	7	35547195	35547415	+	103	NA	TTS (ENSGALG00000012525)	protein_coding-TTS (ENSGALG00000012525)	21113	ENSGALG00000012526	ENSGALG00000012526	ENSGALT00000020462			PRPF40A			protein_coding
ATAC_R1.mLb.clN_peak_27425	2	102294739	102295042	+	103	NA	Intergenic	Intergenic	-42030	ENSGALG00000014935	ENSGALG00000014935	ENSGALT00000024089			GREB1L			protein_coding
ATAC_R1.mLb.clN_peak_20255	18	7706334	7707097	+	103	NA	Intergenic	Intergenic	32501	ENSGALG00000029610	ENSGALG00000029610	ENSGALT00000106978			RGS9			protein_coding
ATAC_R1.mLb.clN_peak_19144	15	6750893	6751376	+	103	NA	Intergenic	Intergenic	7548	ENSGALG00000004840	ENSGALG00000004840	ENSGALT00000007727						protein_coding
ATAC_R1.mLb.clN_peak_25036	2	64928177	64928623	+	103	NA	Intergenic	Intergenic	-14167	ENSGALG00000012801	ENSGALG00000012801	ENSGALT00000020885			LY86			protein_coding
ATAC_R1.mLb.clN_peak_33267	3	2071197	2071404	+	103	NA	intron (ENSGALG00000007845, intron 4 of 9)	protein_coding-intron (ENSGALG00000007845, intron 4 of 9)	16867	ENSGALG00000007845	ENSGALG00000007845	ENSGALT00000040305			REL			protein_coding
ATAC_R1.mLb.clN_peak_52501	5	58178497	58178660	+	103	NA	Intergenic	Intergenic	7489	ENSGALG00000020340	ENSGALG00000020340	ENSGALT00000032442			TMX1			protein_coding
ATAC_R1.mLb.clN_peak_44756	4	48387262	48387462	+	103	NA	Intergenic	Intergenic	403916	ENSGALG00000011319	ENSGALG00000011319	ENSGALT00000049317			ADGRL3			protein_coding
ATAC_R1.mLb.clN_peak_45430	4	57160923	57161922	+	103	NA	intron (ENSGALG00000012074, intron 1 of 13)	protein_coding-intron (ENSGALG00000012074, intron 1 of 13)	5928	ENSGALG00000012074	ENSGALG00000012074	ENSGALT00000019725			ALPK1			protein_coding
ATAC_R1.mLb.clN_peak_61669	9	19417395	19417678	+	103	NA	intron (ENSGALG00000009170, intron 1 of 4)	protein_coding-intron (ENSGALG00000009170, intron 1 of 4)	6725	ENSGALG00000009170	ENSGALG00000009170	ENSGALT00000014937			NCEH1			protein_coding
ATAC_R1.mLb.clN_peak_46696	4	73185356	73185503	+	103	NA	intron (ENSGALG00000029673, intron 1 of 20)	protein_coding-intron (ENSGALG00000029673, intron 1 of 20)	1081	ENSGALG00000029673	ENSGALG00000029673	ENSGALT00000046555			TBC1D19			protein_coding
ATAC_R1.mLb.clN_peak_51053	5	39134677	39134825	+	103	NA	Intergenic	Intergenic	-30324	ENSGALG00000010372	ENSGALG00000010372	ENSGALT00000016899			ANGEL1			protein_coding
ATAC_R1.mLb.clN_peak_58301	8	4244194	4244518	+	103	NA	intron (ENSGALG00000036871, intron 2 of 11)	protein_coding-intron (ENSGALG00000036871, intron 2 of 11)	7296	ENSGALG00000036871	ENSGALG00000036871	ENSGALT00000059623						protein_coding
ATAC_R1.mLb.clN_peak_16261	12	17654337	17654946	+	103	NA	intron (ENSGALG00000037856, intron 2 of 26)	protein_coding-intron (ENSGALG00000037856, intron 2 of 26)	22499	ENSGALG00000037856	ENSGALG00000037856	ENSGALT00000064311			CHL1			protein_coding
ATAC_R1.mLb.clN_peak_65377	Z	55649189	55649354	+	102	NA	Intergenic	Intergenic	-62199	ENSGALG00000015540	ENSGALG00000015540	ENSGALT00000097004			RAD23B			protein_coding
ATAC_R1.mLb.clN_peak_35623	3	38218813	38219970	+	102	NA	intron (ENSGALG00000034003, intron 1 of 21)	protein_coding-intron (ENSGALG00000034003, intron 1 of 21)	24737	ENSGALG00000034003	ENSGALG00000034003	ENSGALT00000060614			ARID4B			protein_coding
ATAC_R1.mLb.clN_peak_57151	7	27028005	27028311	+	102	NA	intron (ENSGALG00000031244, intron 2 of 19)	protein_coding-intron (ENSGALG00000031244, intron 2 of 20)	100590	ENSGALG00000011697	ENSGALG00000011697	ENSGALT00000083896			SEC22A			protein_coding
ATAC_R1.mLb.clN_peak_44879	4	50465534	50465979	+	102	NA	Intergenic	Intergenic	49960	ENSGALG00000011616	ENSGALG00000011616	ENSGALT00000018978			NPFFR2			protein_coding
ATAC_R1.mLb.clN_peak_60288	9	3555953	3556409	+	102	NA	Intergenic	Intergenic	-8670	ENSGALG00000045030	ENSGALG00000045030	ENSGALT00000086194						protein_coding
ATAC_R1.mLb.clN_peak_36852	3	53994527	53995453	+	102	NA	Intergenic	Intergenic	-64677	ENSGALG00000013818	ENSGALG00000013818	ENSGALT00000022425			CITED2			protein_coding
ATAC_R1.mLb.clN_peak_5516	1	85338219	85338894	+	102	NA	intron (ENSGALG00000015252, intron 1 of 10)	protein_coding-intron (ENSGALG00000015252, intron 1 of 10)	-3149	ENSGALG00000015252	ENSGALG00000015252	ENSGALT00000099319			ST3GAL6			protein_coding
ATAC_R1.mLb.clN_peak_56339	7	17041375	17041595	+	102	NA	intron (ENSGALG00000009325, intron 8 of 11)	protein_coding-intron (ENSGALG00000009325, intron 7 of 10)	-39066	ENSGALG00000031796	ENSGALG00000031796	ENSGALT00000068500			SP3			protein_coding
ATAC_R1.mLb.clN_peak_58871	8	13554693	13554880	+	102	NA	Intergenic	Intergenic	-156397	ENSGALG00000005552	ENSGALG00000005552	ENSGALT00000008906			PTBP2			protein_coding
ATAC_R1.mLb.clN_peak_59643	8	21832406	21832921	+	102	NA	Intergenic	Intergenic	-8402	ENSGALG00000010343	ENSGALG00000010343	ENSGALT00000016840			TSPAN16			protein_coding
ATAC_R1.mLb.clN_peak_65966	Z	66358581	66359552	+	102	NA	Intergenic	Intergenic	-3130	ENSGALG00000015677	ENSGALG00000015677	ENSGALT00000025287			SUSD1			protein_coding
ATAC_R1.mLb.clN_peak_38031	3	68981130	68981337	+	102	NA	Intergenic	Intergenic	-2306	ENSGALG00000026761	ENSGALG00000026761	ENSGALT00000053905			LIN28B			protein_coding
ATAC_R1.mLb.clN_peak_29543	2	130391697	130392000	+	102	NA	intron (ENSGALG00000040079, intron 5 of 7)	protein_coding-intron (ENSGALG00000040079, intron 5 of 7)	156644	ENSGALG00000040079	ENSGALG00000040079	ENSGALT00000090919			ZFPM2			protein_coding
ATAC_R1.mLb.clN_peak_21801	2	14808811	14809030	+	102	NA	Intergenic	Intergenic	-24953	ENSGALG00000007331	ENSGALG00000007331	ENSGALT00000058082			SVIL			protein_coding
ATAC_R1.mLb.clN_peak_32380	24	4074644	4075097	+	102	NA	intron (ENSGALG00000039196, intron 1 of 5)	protein_coding-intron (ENSGALG00000039196, intron 1 of 8)	13669	ENSGALG00000039196	ENSGALG00000039196	ENSGALT00000103717			NECTIN1			protein_coding
ATAC_R1.mLb.clN_peak_8831	1	137667310	137667524	+	102	NA	intron (ENSGALG00000029970, intron 9 of 9)	protein_coding-intron (ENSGALG00000029970, intron 9 of 9)	-17955	ENSGALG00000052731	ENSGALG00000052731	ENSGALT00000089970						protein_coding
ATAC_R1.mLb.clN_peak_19503	17	3100761	3101145	+	102	NA	Intergenic	Intergenic	-17804	ENSGALG00000039990	ENSGALG00000039990	ENSGALT00000092781			TNC			protein_coding
ATAC_R1.mLb.clN_peak_7986	1	126420092	126420804	+	102	NA	intron (ENSGALG00000030802, intron 5 of 9)	protein_coding-intron (ENSGALG00000030802, intron 5 of 9)	84254	ENSGALG00000030802	ENSGALG00000030802	ENSGALT00000056079			SHROOM2			protein_coding
ATAC_R1.mLb.clN_peak_21570	2	10802749	10803193	+	102	NA	intron (ENSGALG00000006797, intron 1 of 9)	protein_coding-intron (ENSGALG00000006797, intron 1 of 9)	-171866	ENSGALG00000006797	ENSGALG00000006797	ENSGALT00000010993			ADARB2			protein_coding
ATAC_R1.mLb.clN_peak_42332	4	14170768	14171211	+	102	NA	intron (ENSGALG00000008326, intron 2 of 15)	protein_coding-intron (ENSGALG00000008326, intron 2 of 15)	8605	ENSGALG00000008326	ENSGALG00000008326	ENSGALT00000052692						protein_coding
ATAC_R1.mLb.clN_peak_20125	18	5656168	5656952	+	102	NA	Intergenic	Intergenic	25932	ENSGALG00000050762	ENSGALG00000050762	ENSGALT00000093957						protein_coding
ATAC_R1.mLb.clN_peak_53696	6	16564803	16565124	+	102	NA	intron (ENSGALG00000005107, intron 1 of 14)	protein_coding-intron (ENSGALG00000005107, intron 1 of 14)	6453	ENSGALG00000005107	ENSGALG00000005107	ENSGALT00000008188						protein_coding
ATAC_R1.mLb.clN_peak_63919	Z	26200268	26200855	+	102	NA	Intergenic	Intergenic	-141950	ENSGALG00000010164	ENSGALG00000010164	ENSGALT00000057965			SMARCA2			protein_coding
ATAC_R1.mLb.clN_peak_1524	1	22899292	22899619	+	102	NA	intron (ENSGALG00000008926, intron 17 of 30)	protein_coding-intron (ENSGALG00000008926, intron 16 of 29)	-78185	ENSGALG00000008941	ENSGALG00000008941	ENSGALT00000014537			FEZF1			protein_coding
ATAC_R1.mLb.clN_peak_20498	19	2767851	2768373	+	102	NA	intron (ENSGALG00000036742, intron 2 of 8)	protein_coding-intron (ENSGALG00000036742, intron 2 of 8)	31701	ENSGALG00000001174	ENSGALG00000001174	ENSGALT00000001779			RCC1L			protein_coding
ATAC_R1.mLb.clN_peak_4168	1	59337361	59337494	+	102	NA	Intergenic	Intergenic	-21565	ENSGALG00000045168	ENSGALG00000045168	ENSGALT00000085734						protein_coding
ATAC_R1.mLb.clN_peak_4723	1	67300091	67300304	+	102	NA	Intergenic	Intergenic	-91078	ENSGALG00000030943	ENSGALG00000030943	ENSGALT00000063877			KRAS			protein_coding
ATAC_R1.mLb.clN_peak_9005	1	140717779	140718259	+	102	NA	intron (ENSGALG00000031009, intron 9 of 20)	protein_coding-intron (ENSGALG00000031009, intron 8 of 20)	73277	ENSGALG00000031009	ENSGALG00000031009	ENSGALT00000092416			ARHGEF7			protein_coding
ATAC_R1.mLb.clN_peak_44566	4	45039882	45040197	+	102	NA	Intergenic	Intergenic	-98413	ENSGALG00000010886	ENSGALG00000010886	ENSGALT00000017695			PAQR3			protein_coding
ATAC_R1.mLb.clN_peak_3254	1	44848025	44848590	+	102	NA	Intergenic	Intergenic	-6973	ENSGALG00000011285	ENSGALG00000011285	ENSGALT00000097330						protein_coding
ATAC_R1.mLb.clN_peak_10382	1	170029595	170030003	+	102	NA	Intergenic	Intergenic	-6306	ENSGALG00000016996	ENSGALG00000016996	ENSGALT00000030149			ITM2B			protein_coding
ATAC_R1.mLb.clN_peak_24994	2	64276319	64276621	+	102	NA	Intergenic	Intergenic	-17851	ENSGALG00000012782	ENSGALG00000012782	ENSGALT00000020852			BLOC1S5			protein_coding
ATAC_R1.mLb.clN_peak_43248	4	28605047	28605159	+	102	NA	Intergenic	Intergenic	49879	ENSGALG00000009732	ENSGALG00000009732	ENSGALT00000055929			PCDH18			protein_coding
ATAC_R1.mLb.clN_peak_35272	3	34066223	34066608	+	102	NA	intron (ENSGALG00000010653, intron 1 of 12)	protein_coding-intron (ENSGALG00000010653, intron 1 of 13)	17825	ENSGALG00000010653	ENSGALG00000010653	ENSGALT00000031879			SMYD3			protein_coding
ATAC_R1.mLb.clN_peak_10460	1	171744915	171745365	+	102	NA	intron (ENSGALG00000017026, intron 6 of 13)	protein_coding-intron (ENSGALG00000017026, intron 6 of 13)	-10332	ENSGALG00000017025	ENSGALG00000017025	ENSGALT00000027509			CKAP2			protein_coding
ATAC_R1.mLb.clN_peak_50016	5	27979187	27979649	+	102	NA	intron (ENSGALG00000009415, intron 5 of 11)	protein_coding-intron (ENSGALG00000009415, intron 5 of 12)	67752	ENSGALG00000009415	ENSGALG00000009415	ENSGALT00000062849			SMOC1			protein_coding
ATAC_R1.mLb.clN_peak_17305	13	12484883	12485120	+	102	NA	Intergenic	Intergenic	-64789	ENSGALG00000003886	ENSGALG00000003886	ENSGALT00000006182			SGCD			protein_coding
ATAC_R1.mLb.clN_peak_12361	10	5449245	5449759	+	102	NA	intron (ENSGALG00000003759, intron 1 of 9)	protein_coding-intron (ENSGALG00000003759, intron 1 of 9)	-48044	ENSGALG00000046000	ENSGALG00000046000	ENSGALT00000102678			ICE2			protein_coding
ATAC_R1.mLb.clN_peak_40886	3	109843000	109843393	+	102	NA	intron (ENSGALG00000016713, intron 1 of 11)	protein_coding-intron (ENSGALG00000016713, intron 1 of 11)	1152	ENSGALG00000016713	ENSGALG00000016713	ENSGALT00000026970			PLA2G7			protein_coding
ATAC_R1.mLb.clN_peak_5510	1	85294983	85295602	+	102	NA	intron (ENSGALG00000015240, intron 1 of 6)	protein_coding-intron (ENSGALG00000015240, intron 1 of 6)	266	ENSGALG00000015240	ENSGALG00000015240	ENSGALT00000093518						protein_coding
ATAC_R1.mLb.clN_peak_24095	2	46379894	46380466	+	102	NA	intron (ENSGALG00000035492, intron 6 of 21)	protein_coding-intron (ENSGALG00000035492, intron 6 of 21)	57475	ENSGALG00000035492	ENSGALG00000035492	ENSGALT00000064941			ELMO1			protein_coding
ATAC_R1.mLb.clN_peak_7965	1	126114037	126114460	+	102	NA	Intergenic	Intergenic	110552	ENSGALG00000038504	ENSGALG00000038504	ENSGALT00000101858			MID1			protein_coding
ATAC_R1.mLb.clN_peak_21121	2	4600889	4601048	+	102	NA	intron (ENSGALG00000005710, intron 2 of 7)	protein_coding-intron (ENSGALG00000005710, intron 1 of 7)	32183	ENSGALG00000005710	ENSGALG00000005710	ENSGALT00000083911			CTDSPL			protein_coding
ATAC_R1.mLb.clN_peak_26803	2	93481847	93481989	+	102	NA	Intergenic	Intergenic	62035	ENSGALG00000013731	ENSGALG00000013731	ENSGALT00000022316			SOCS6			protein_coding
ATAC_R1.mLb.clN_peak_40426	3	101793742	101794267	+	102	NA	Intergenic	Intergenic	112640	ENSGALG00000016485	ENSGALG00000016485	ENSGALT00000026595			RHOB			protein_coding
ATAC_R1.mLb.clN_peak_12007	1	195088580	195088803	+	102	NA	Intergenic	Intergenic	38544	ENSGALG00000038551	ENSGALG00000038551	ENSGALT00000051842						protein_coding
ATAC_R1.mLb.clN_peak_5307	1	79160873	79161175	+	102	NA	Intergenic	Intergenic	-3383	ENSGALG00000014723	ENSGALG00000014723	ENSGALT00000023745			GABARAPL1			protein_coding
ATAC_R1.mLb.clN_peak_34042	3	18576423	18576561	+	102	NA	Intergenic	Intergenic	122405	ENSGALG00000037257	ENSGALG00000037257	ENSGALT00000062339			HLX			protein_coding
ATAC_R1.mLb.clN_peak_33603	3	9627850	9628150	+	102	NA	intron (ENSGALG00000008931, intron 3 of 3)	protein_coding-intron (ENSGALG00000008931, intron 3 of 3)	32373	ENSGALG00000008931	ENSGALG00000008931	ENSGALT00000077297			COMMD1			protein_coding
ATAC_R1.mLb.clN_peak_17698	13	18716405	18716748	+	102	NA	intron (ENSGALG00000007582, intron 1 of 13)	protein_coding-intron (ENSGALG00000007582, intron 1 of 13)	938	ENSGALG00000007582	ENSGALG00000007582	ENSGALT00000063194			DPYSL3			protein_coding
ATAC_R1.mLb.clN_peak_65444	Z	57114746	57114891	+	102	NA	intron (ENSGALG00000014686, intron 4 of 62)	protein_coding-intron (ENSGALG00000014686, intron 5 of 63)	13715	ENSGALG00000014686	ENSGALG00000014686	ENSGALT00000083096			FBN2			protein_coding
ATAC_R1.mLb.clN_peak_15984	12	13962078	13962548	+	102	NA	intron (ENSGALG00000007302, intron 2 of 9)	protein_coding-intron (ENSGALG00000007302, intron 4 of 11)	10948	ENSGALG00000007302	ENSGALG00000007302	ENSGALT00000091945						protein_coding
ATAC_R1.mLb.clN_peak_64679	Z	41627914	41628149	+	102	NA	intron (ENSGALG00000040796, intron 13 of 16)	protein_coding-intron (ENSGALG00000040796, intron 13 of 16)	114193	ENSGALG00000012618	ENSGALG00000012618	ENSGALT00000020599			FANCC			protein_coding
ATAC_R1.mLb.clN_peak_63635	Z	20477029	20477475	+	102	NA	intron (ENSGALG00000014751, intron 6 of 23)	protein_coding-intron (ENSGALG00000014751, intron 6 of 23)	42608	ENSGALG00000014751	ENSGALG00000014751	ENSGALT00000023786			ADAMTS6			protein_coding
ATAC_R1.mLb.clN_peak_61493	9	17373901	17374242	+	102	NA	Intergenic	Intergenic	-20067	ENSGALG00000008889	ENSGALG00000008889	ENSGALT00000014450			TTC14			protein_coding
ATAC_R1.mLb.clN_peak_33915	3	16112649	16112986	+	102	NA	TTS (ENSGALG00000008614)	protein_coding-TTS (ENSGALG00000008614)	225	ENSGALG00000032273	ENSGALG00000032273	ENSGALT00000051780			POLR1B			protein_coding
ATAC_R1.mLb.clN_peak_25084	2	65967590	65967852	+	102	NA	Intergenic	Intergenic	-5506	ENSGALG00000012813	ENSGALG00000012813	ENSGALT00000020904			PRPF4B			protein_coding
ATAC_R1.mLb.clN_peak_31688	21	3841329	3841749	+	102	NA	intron (ENSGALG00000002888, intron 16 of 19)	protein_coding-intron (ENSGALG00000002888, intron 15 of 17)	96537	ENSGALG00000002836	ENSGALG00000002836	ENSGALT00000088530			PEX14			protein_coding
ATAC_R1.mLb.clN_peak_50183	5	29831973	29832438	+	102	NA	Intergenic	Intergenic	16995	ENSGALG00000009626	ENSGALG00000009626	ENSGALT00000015678			THBS1			protein_coding
ATAC_R1.mLb.clN_peak_62856	Z	9816871	9817464	+	102	NA	TTS (ENSGALG00000003248)	protein_coding-TTS (ENSGALG00000003248)	15922	ENSGALG00000003248	ENSGALG00000003248	ENSGALT00000005135			SUB1			protein_coding
ATAC_R1.mLb.clN_peak_28686	2	118516879	118517044	+	102	NA	TTS (ENSGALG00000033880)	protein_coding-TTS (ENSGALG00000033880)	38572	ENSGALG00000033880	ENSGALG00000033880	ENSGALT00000105291			CRISPLD1			protein_coding
